Khách hàng,Sản phẩm,Ngày mua,Giá trị,Xu hướng mua sắm,Số lượng,Độ tin cậy của khách hàng,Khu vực,Thời gian mua sắm,Phương pháp thanh toán,Chiến dịch quảng cáo
KH1575,SP003,7/1/2022,349,Tăng,233,Trung bình,Khu vực B,Buổi sáng,Cao,CD33
KH1576,SP005,23/1/2022,254,Tăng,125,Trung bình,Khu vực A,Buổi tối,Cao,CD11
KH1577,SP003,21/1/2022,433,Tăng,214,Thấp,Khu vực C,Buổi sáng,Thấp,CD3
KH1578,SP002,28/1/2022,480,Tăng,204,Trung bình,Khu vực C,Buổi tối,Cao,CD20
KH1579,SP002,1/1/2022,311,Tăng,223,Thấp,Khu vực C,Buổi chiều,Thấp,CD30
KH1580,SP005,11/1/2022,75,Giảm,39,Thấp,Khu vực C,Buổi sáng,Cao,CD20
KH1581,SP001,16/1/2022,474,Tăng,298,Thấp,Khu vực C,Buổi tối,Thấp,CD32
KH1582,SP003,18/1/2022,427,Tăng,292,Cao,Khu vực B,Buổi sáng,Thấp,CD21
KH1583,SP003,1/1/2022,316,Tăng,80,Trung bình,Khu vực B,Buổi tối,Cao,CD37
KH1584,SP001,28/1/2022,416,Tăng,100,Thấp,Khu vực A,Buổi sáng,Cao,CD28
KH1585,SP005,29/1/2022,354,Tăng,288,Cao,Khu vực C,Buổi tối,Cao,CD28
KH1586,SP004,9/1/2022,390,Tăng,261,Trung bình,Khu vực A,Buổi sáng,Cao,CD43
KH1587,SP003,7/1/2022,407,Tăng,231,Cao,Khu vực A,Buổi chiều,Cao,CD22
KH1588,SP002,11/1/2022,265,Tăng,33,Trung bình,Khu vực C,Buổi tối,Cao,CD32
KH1589,SP001,23/1/2022,493,Tăng,187,Cao,Khu vực A,Buổi tối,Cao,CD17
KH1590,SP004,21/1/2022,124,Giảm,237,Trung bình,Khu vực A,Buổi chiều,Thấp,CD29
KH1591,SP001,21/1/2022,385,Tăng,174,Trung bình,Khu vực B,Buổi chiều,Thấp,CD47
KH1592,SP005,29/1/2022,493,Tăng,285,Trung bình,Khu vực B,Buổi tối,Cao,CD47
KH1593,SP002,1/1/2022,155,Giảm,182,Cao,Khu vực A,Buổi chiều,Thấp,CD11
KH1594,SP003,1/1/2022,371,Tăng,244,Trung bình,Khu vực B,Buổi sáng,Cao,CD15
KH1595,SP003,11/1/2022,380,Tăng,228,Cao,Khu vực A,Buổi chiều,Cao,CD23
KH1596,SP001,1/1/2022,208,Tăng,211,Cao,Khu vực A,Buổi sáng,Cao,CD9
KH1597,SP003,6/1/2022,194,Giảm,67,Thấp,Khu vực A,Buổi chiều,Cao,CD30
KH1598,SP004,11/1/2022,216,Tăng,137,Trung bình,Khu vực C,Buổi sáng,Cao,CD20
KH1599,SP002,11/1/2022,414,Tăng,256,Thấp,Khu vực C,Buổi sáng,Thấp,CD24
KH1600,SP003,16/1/2022,215,Tăng,125,Cao,Khu vực A,Buổi sáng,Cao,CD17
KH1601,SP005,16/1/2022,197,Giảm,156,Thấp,Khu vực C,Buổi sáng,Thấp,CD43
KH1602,SP005,1/1/2022,471,Tăng,84,Thấp,Khu vực C,Buổi sáng,Cao,CD11
KH1603,SP005,31/1/2022,494,Tăng,257,Trung bình,Khu vực B,Buổi sáng,Cao,CD7
KH1604,SP003,31/1/2022,284,Tăng,248,Trung bình,Khu vực C,Buổi chiều,Thấp,CD29
KH1605,SP003,14/1/2022,327,Tăng,93,Trung bình,Khu vực A,Buổi sáng,Cao,CD44
KH1606,SP003,11/1/2022,445,Tăng,229,Trung bình,Khu vực C,Buổi tối,Thấp,CD42
KH1607,SP003,18/1/2022,461,Tăng,175,Cao,Khu vực B,Buổi tối,Cao,CD14
KH1608,SP002,31/1/2022,119,Giảm,277,Trung bình,Khu vực C,Buổi tối,Cao,CD9
KH1609,SP005,23/1/2022,414,Tăng,232,Thấp,Khu vực A,Buổi chiều,Cao,CD2
KH1610,SP005,25/1/2022,230,Tăng,243,Thấp,Khu vực A,Buổi sáng,Cao,CD11
KH1611,SP004,1/1/2022,464,Tăng,278,Cao,Khu vực C,Buổi sáng,Cao,CD26
KH1612,SP001,1/1/2022,160,Giảm,100,Cao,Khu vực B,Buổi tối,Cao,CD46
KH1613,SP003,14/1/2022,443,Tăng,34,Cao,Khu vực C,Buổi tối,Cao,CD47
KH1614,SP004,1/1/2022,375,Tăng,182,Cao,Khu vực C,Buổi chiều,Thấp,CD40
KH1615,SP001,21/1/2022,493,Tăng,76,Thấp,Khu vực C,Buổi sáng,Thấp,CD8
KH1616,SP003,13/1/2022,108,Giảm,90,Thấp,Khu vực C,Buổi sáng,Thấp,CD16
KH1617,SP003,15/1/2022,466,Tăng,253,Thấp,Khu vực B,Buổi tối,Cao,CD19
KH1618,SP005,1/1/2022,379,Tăng,68,Thấp,Khu vực C,Buổi sáng,Cao,CD7
KH1619,SP004,24/1/2022,208,Tăng,200,Trung bình,Khu vực A,Buổi sáng,Thấp,CD33
KH1620,SP003,11/1/2022,322,Tăng,84,Trung bình,Khu vực C,Buổi chiều,Thấp,CD18
KH1621,SP005,8/1/2022,232,Tăng,74,Thấp,Khu vực C,Buổi tối,Cao,CD8
KH1622,SP002,29/1/2022,414,Tăng,44,Thấp,Khu vực C,Buổi tối,Cao,CD19
KH1623,SP002,15/1/2022,359,Tăng,254,Thấp,Khu vực C,Buổi sáng,Thấp,CD46
KH1624,SP001,11/1/2022,383,Tăng,88,Thấp,Khu vực B,Buổi tối,Thấp,CD49
KH1625,SP004,18/1/2022,308,Tăng,194,Cao,Khu vực A,Buổi chiều,Cao,CD47
KH1626,SP001,21/1/2022,272,Tăng,273,Cao,Khu vực C,Buổi tối,Cao,CD8
KH1627,SP001,28/1/2022,90,Giảm,82,Thấp,Khu vực A,Buổi tối,Cao,CD19
KH1628,SP004,11/1/2022,222,Tăng,300,Thấp,Khu vực C,Buổi chiều,Cao,CD18
KH1629,SP004,31/1/2022,137,Giảm,94,Thấp,Khu vực B,Buổi sáng,Thấp,CD48
KH1630,SP002,1/1/2022,213,Tăng,159,Cao,Khu vực B,Buổi chiều,Thấp,CD36
KH1631,SP003,27/1/2022,437,Tăng,201,Trung bình,Khu vực C,Buổi tối,Cao,CD19
KH1632,SP001,17/1/2022,148,Giảm,223,Thấp,Khu vực C,Buổi tối,Cao,CD36
KH1633,SP001,21/1/2022,165,Giảm,178,Cao,Khu vực C,Buổi chiều,Cao,CD45
KH1634,SP005,6/1/2022,341,Tăng,44,Thấp,Khu vực B,Buổi tối,Thấp,CD10
KH1635,SP002,16/1/2022,199,Giảm,111,Trung bình,Khu vực A,Buổi tối,Thấp,CD11
KH1636,SP004,31/1/2022,265,Tăng,270,Cao,Khu vực A,Buổi sáng,Thấp,CD32
KH1637,SP002,19/1/2022,122,Giảm,263,Thấp,Khu vực B,Buổi sáng,Thấp,CD38
KH1638,SP003,15/1/2022,405,Tăng,94,Trung bình,Khu vực C,Buổi sáng,Cao,CD2
KH1639,SP001,9/1/2022,440,Tăng,267,Cao,Khu vực A,Buổi tối,Cao,CD32
KH1640,SP003,13/1/2022,427,Tăng,144,Trung bình,Khu vực A,Buổi tối,Cao,CD4
KH1641,SP001,3/1/2022,100,Giảm,185,Trung bình,Khu vực C,Buổi chiều,Cao,CD32
KH1642,SP004,1/1/2022,214,Tăng,51,Trung bình,Khu vực B,Buổi chiều,Thấp,CD28
KH1643,SP005,16/1/2022,233,Tăng,287,Thấp,Khu vực A,Buổi chiều,Thấp,CD48
KH1644,SP003,4/1/2022,410,Tăng,205,Cao,Khu vực A,Buổi sáng,Thấp,CD45
KH1645,SP004,11/1/2022,75,Giảm,249,Thấp,Khu vực B,Buổi chiều,Cao,CD44
KH1646,SP002,16/1/2022,412,Tăng,47,Thấp,Khu vực C,Buổi tối,Cao,CD39
KH1647,SP001,1/1/2022,312,Tăng,291,Trung bình,Khu vực C,Buổi tối,Thấp,CD35
KH1648,SP001,11/1/2022,108,Giảm,189,Thấp,Khu vực A,Buổi tối,Cao,CD15
KH1649,SP001,26/1/2022,262,Tăng,124,Cao,Khu vực C,Buổi chiều,Cao,CD17
KH1650,SP004,15/1/2022,233,Tăng,236,Thấp,Khu vực C,Buổi sáng,Thấp,CD13
KH1651,SP002,13/1/2022,337,Tăng,159,Cao,Khu vực B,Buổi tối,Cao,CD36
KH1652,SP002,18/1/2022,329,Tăng,116,Thấp,Khu vực A,Buổi chiều,Cao,CD3
KH1653,SP005,21/1/2022,161,Giảm,50,Cao,Khu vực C,Buổi tối,Thấp,CD48
KH1654,SP003,29/1/2022,208,Tăng,117,Cao,Khu vực C,Buổi sáng,Thấp,CD5
KH1655,SP003,15/1/2022,443,Tăng,94,Cao,Khu vực A,Buổi sáng,Cao,CD49
KH1656,SP004,21/1/2022,387,Tăng,259,Trung bình,Khu vực B,Buổi tối,Thấp,CD23
KH1657,SP004,11/1/2022,140,Giảm,250,Trung bình,Khu vực A,Buổi sáng,Cao,CD10
KH1658,SP004,25/1/2022,124,Giảm,147,Cao,Khu vực B,Buổi tối,Cao,CD46
KH1659,SP002,27/1/2022,203,Tăng,230,Cao,Khu vực C,Buổi sáng,Cao,CD46
KH1660,SP002,15/1/2022,171,Giảm,132,Cao,Khu vực A,Buổi tối,Cao,CD49
KH1661,SP005,11/1/2022,414,Tăng,155,Cao,Khu vực B,Buổi tối,Thấp,CD33
KH1662,SP002,8/1/2022,237,Tăng,257,Trung bình,Khu vực A,Buổi chiều,Cao,CD30
KH1663,SP002,5/1/2022,85,Giảm,58,Thấp,Khu vực A,Buổi tối,Cao,CD22
KH1664,SP002,15/1/2022,67,Giảm,126,Trung bình,Khu vực C,Buổi tối,Cao,CD19
KH1665,SP003,11/1/2022,403,Tăng,162,Trung bình,Khu vực B,Buổi sáng,Thấp,CD50
KH1666,SP005,1/1/2022,490,Tăng,161,Thấp,Khu vực B,Buổi sáng,Thấp,CD13
KH1667,SP005,17/1/2022,453,Tăng,233,Thấp,Khu vực C,Buổi sáng,Cao,CD43
KH1668,SP004,21/1/2022,485,Tăng,134,Cao,Khu vực A,Buổi chiều,Cao,CD11
KH1669,SP004,31/1/2022,495,Tăng,203,Cao,Khu vực B,Buổi chiều,Cao,CD37
KH1670,SP003,23/1/2022,73,Giảm,142,Trung bình,Khu vực C,Buổi tối,Cao,CD33
KH1671,SP005,1/1/2022,452,Tăng,217,Cao,Khu vực A,Buổi tối,Cao,CD43
KH1672,SP005,3/1/2022,115,Giảm,140,Trung bình,Khu vực A,Buổi chiều,Thấp,CD45
KH1673,SP001,6/1/2022,310,Tăng,260,Thấp,Khu vực C,Buổi tối,Thấp,CD41
KH1674,SP003,3/1/2022,205,Tăng,223,Cao,Khu vực C,Buổi tối,Cao,CD38
KH1675,SP001,9/1/2022,322,Tăng,269,Trung bình,Khu vực A,Buổi sáng,Cao,CD37
KH1676,SP004,19/1/2022,466,Tăng,298,Cao,Khu vực A,Buổi chiều,Thấp,CD30
KH1677,SP005,31/1/2022,355,Tăng,209,Cao,Khu vực A,Buổi tối,Thấp,CD45
KH1678,SP003,31/1/2022,86,Giảm,219,Trung bình,Khu vực C,Buổi sáng,Cao,CD24
KH1679,SP001,21/1/2022,317,Tăng,210,Thấp,Khu vực A,Buổi sáng,Thấp,CD28
KH1680,SP005,26/1/2022,290,Tăng,55,Thấp,Khu vực C,Buổi tối,Thấp,CD20
KH1681,SP003,13/1/2022,196,Giảm,208,Thấp,Khu vực A,Buổi chiều,Thấp,CD46
KH1682,SP005,9/1/2022,149,Giảm,62,Trung bình,Khu vực B,Buổi tối,Thấp,CD33
KH1683,SP003,7/1/2022,94,Giảm,220,Cao,Khu vực C,Buổi chiều,Thấp,CD13
KH1684,SP002,31/1/2022,151,Giảm,198,Cao,Khu vực B,Buổi chiều,Thấp,CD7
KH1685,SP001,21/1/2022,231,Tăng,291,Cao,Khu vực B,Buổi chiều,Cao,CD36
KH1686,SP002,27/1/2022,408,Tăng,46,Thấp,Khu vực A,Buổi chiều,Cao,CD22
KH1687,SP005,7/1/2022,150,Giảm,231,Trung bình,Khu vực B,Buổi tối,Cao,CD23
KH1688,SP005,28/1/2022,448,Tăng,108,Cao,Khu vực A,Buổi sáng,Cao,CD34
KH1689,SP003,7/1/2022,178,Giảm,236,Cao,Khu vực C,Buổi tối,Thấp,CD14
KH1690,SP001,21/1/2022,467,Tăng,299,Thấp,Khu vực B,Buổi tối,Thấp,CD20
KH1691,SP001,1/1/2022,191,Giảm,53,Cao,Khu vực C,Buổi sáng,Cao,CD25
KH1692,SP003,21/1/2022,195,Giảm,197,Trung bình,Khu vực C,Buổi tối,Cao,CD14
KH1693,SP004,28/1/2022,287,Tăng,35,Trung bình,Khu vực B,Buổi sáng,Thấp,CD46
KH1694,SP003,4/1/2022,63,Giảm,293,Trung bình,Khu vực B,Buổi chiều,Cao,CD15
KH1695,SP003,27/1/2022,155,Giảm,115,Cao,Khu vực B,Buổi sáng,Cao,CD49
KH1696,SP003,24/1/2022,129,Giảm,220,Trung bình,Khu vực C,Buổi tối,Cao,CD50
KH1697,SP002,4/1/2022,391,Tăng,297,Trung bình,Khu vực C,Buổi sáng,Cao,CD34
KH1698,SP001,3/1/2022,186,Giảm,111,Trung bình,Khu vực A,Buổi tối,Cao,CD24
KH1699,SP005,1/1/2022,357,Tăng,255,Trung bình,Khu vực C,Buổi tối,Thấp,CD6
KH1700,SP005,11/1/2022,201,Tăng,129,Cao,Khu vực B,Buổi tối,Thấp,CD3
KH1701,SP002,31/1/2022,357,Tăng,294,Cao,Khu vực A,Buổi sáng,Thấp,CD24
KH1702,SP001,11/1/2022,393,Tăng,68,Trung bình,Khu vực A,Buổi chiều,Thấp,CD33
KH1703,SP003,1/1/2022,355,Tăng,93,Trung bình,Khu vực A,Buổi chiều,Thấp,CD25
KH1704,SP001,24/1/2022,261,Tăng,83,Trung bình,Khu vực A,Buổi sáng,Cao,CD18
KH1705,SP004,1/1/2022,301,Tăng,42,Trung bình,Khu vực B,Buổi sáng,Cao,CD9
KH1706,SP001,11/1/2022,152,Giảm,234,Cao,Khu vực C,Buổi chiều,Thấp,CD50
KH1707,SP004,14/1/2022,259,Tăng,60,Thấp,Khu vực C,Buổi chiều,Cao,CD1
KH1708,SP001,17/1/2022,438,Tăng,84,Thấp,Khu vực A,Buổi chiều,Thấp,CD34
KH1709,SP002,6/1/2022,460,Tăng,232,Trung bình,Khu vực A,Buổi sáng,Cao,CD6
KH1710,SP002,1/1/2022,110,Giảm,70,Cao,Khu vực C,Buổi chiều,Thấp,CD24
KH1711,SP004,5/1/2022,273,Tăng,189,Thấp,Khu vực B,Buổi sáng,Thấp,CD19
KH1712,SP003,21/1/2022,498,Tăng,257,Cao,Khu vực A,Buổi sáng,Thấp,CD4
KH1713,SP003,17/1/2022,330,Tăng,194,Thấp,Khu vực B,Buổi chiều,Thấp,CD27
KH1714,SP003,11/1/2022,273,Tăng,225,Cao,Khu vực A,Buổi chiều,Thấp,CD11
KH1715,SP004,31/1/2022,82,Giảm,120,Cao,Khu vực A,Buổi tối,Cao,CD10
KH1716,SP002,31/1/2022,88,Giảm,189,Thấp,Khu vực A,Buổi chiều,Cao,CD18
KH1717,SP001,5/1/2022,241,Tăng,297,Thấp,Khu vực A,Buổi tối,Cao,CD9
KH1718,SP003,31/1/2022,277,Tăng,240,Thấp,Khu vực B,Buổi tối,Thấp,CD35
KH1719,SP004,1/1/2022,361,Tăng,81,Cao,Khu vực C,Buổi tối,Cao,CD6
KH1720,SP001,8/1/2022,489,Tăng,164,Trung bình,Khu vực A,Buổi sáng,Cao,CD10
KH1721,SP001,21/1/2022,406,Tăng,158,Cao,Khu vực C,Buổi chiều,Cao,CD29
KH1722,SP001,29/1/2022,441,Tăng,139,Cao,Khu vực C,Buổi sáng,Thấp,CD39
KH1723,SP005,24/1/2022,275,Tăng,99,Cao,Khu vực B,Buổi sáng,Thấp,CD41
KH1724,SP001,27/1/2022,395,Tăng,274,Cao,Khu vực A,Buổi chiều,Cao,CD50
KH1725,SP004,11/1/2022,169,Giảm,180,Thấp,Khu vực A,Buổi tối,Thấp,CD24
KH1726,SP005,8/1/2022,251,Tăng,183,Trung bình,Khu vực C,Buổi chiều,Thấp,CD38
KH1727,SP001,16/1/2022,497,Tăng,219,Cao,Khu vực C,Buổi tối,Thấp,CD19
KH1728,SP002,3/1/2022,106,Giảm,224,Cao,Khu vực C,Buổi chiều,Thấp,CD49
KH1729,SP004,11/1/2022,198,Giảm,280,Cao,Khu vực B,Buổi tối,Cao,CD38
KH1730,SP002,1/1/2022,88,Giảm,72,Trung bình,Khu vực C,Buổi sáng,Thấp,CD46
KH1731,SP005,3/1/2022,489,Tăng,205,Trung bình,Khu vực C,Buổi tối,Thấp,CD17
KH1732,SP002,14/1/2022,109,Giảm,88,Trung bình,Khu vực B,Buổi sáng,Thấp,CD14
KH1733,SP004,4/1/2022,252,Tăng,252,Cao,Khu vực A,Buổi chiều,Thấp,CD3
KH1734,SP001,5/1/2022,237,Tăng,150,Thấp,Khu vực B,Buổi tối,Thấp,CD22
KH1735,SP003,7/1/2022,292,Tăng,66,Thấp,Khu vực A,Buổi chiều,Cao,CD28
KH1736,SP002,29/1/2022,372,Tăng,128,Cao,Khu vực C,Buổi chiều,Cao,CD36
KH1737,SP005,23/1/2022,337,Tăng,151,Thấp,Khu vực C,Buổi sáng,Thấp,CD31
KH1738,SP002,15/1/2022,238,Tăng,44,Thấp,Khu vực C,Buổi chiều,Cao,CD15
KH1739,SP002,1/1/2022,53,Giảm,269,Thấp,Khu vực A,Buổi chiều,Thấp,CD24
KH1740,SP005,13/1/2022,400,Tăng,159,Trung bình,Khu vực C,Buổi tối,Thấp,CD35
KH1741,SP004,16/1/2022,397,Tăng,140,Trung bình,Khu vực C,Buổi sáng,Cao,CD11
KH1742,SP004,23/1/2022,73,Giảm,257,Trung bình,Khu vực C,Buổi tối,Thấp,CD31
KH1743,SP001,3/1/2022,127,Giảm,32,Thấp,Khu vực C,Buổi tối,Thấp,CD35
KH1744,SP004,9/1/2022,168,Giảm,94,Thấp,Khu vực B,Buổi sáng,Cao,CD4
KH1745,SP005,21/1/2022,123,Giảm,183,Trung bình,Khu vực C,Buổi sáng,Cao,CD9
KH1746,SP001,7/1/2022,223,Tăng,45,Thấp,Khu vực C,Buổi tối,Thấp,CD41
KH1747,SP005,4/1/2022,144,Giảm,91,Cao,Khu vực B,Buổi tối,Cao,CD10
KH1748,SP004,11/1/2022,291,Tăng,245,Thấp,Khu vực B,Buổi tối,Cao,CD12
KH1749,SP004,11/1/2022,329,Tăng,275,Trung bình,Khu vực A,Buổi tối,Thấp,CD20
KH1750,SP001,1/1/2022,74,Giảm,79,Trung bình,Khu vực A,Buổi chiều,Thấp,CD23
KH1751,SP005,25/1/2022,199,Giảm,230,Thấp,Khu vực C,Buổi sáng,Cao,CD12
KH1752,SP002,1/1/2022,66,Giảm,226,Trung bình,Khu vực B,Buổi chiều,Thấp,CD32
KH1753,SP001,1/1/2022,84,Giảm,66,Cao,Khu vực C,Buổi tối,Thấp,CD37
KH1754,SP003,31/1/2022,492,Tăng,152,Cao,Khu vực C,Buổi chiều,Cao,CD13
KH1755,SP002,11/1/2022,441,Tăng,123,Trung bình,Khu vực C,Buổi chiều,Cao,CD33
KH1756,SP004,9/1/2022,361,Tăng,118,Trung bình,Khu vực C,Buổi sáng,Thấp,CD33
KH1757,SP005,14/1/2022,102,Giảm,258,Thấp,Khu vực C,Buổi chiều,Cao,CD44
KH1758,SP001,11/1/2022,451,Tăng,160,Thấp,Khu vực C,Buổi chiều,Thấp,CD46
KH1759,SP005,19/1/2022,463,Tăng,40,Thấp,Khu vực C,Buổi sáng,Cao,CD11
KH1760,SP004,21/1/2022,248,Tăng,85,Cao,Khu vực C,Buổi tối,Cao,CD10
KH1761,SP005,17/1/2022,485,Tăng,122,Trung bình,Khu vực B,Buổi chiều,Cao,CD28
KH1762,SP001,9/1/2022,422,Tăng,247,Trung bình,Khu vực A,Buổi sáng,Cao,CD2
KH1763,SP002,7/1/2022,262,Tăng,262,Thấp,Khu vực B,Buổi sáng,Thấp,CD46
KH1764,SP004,5/1/2022,111,Giảm,187,Trung bình,Khu vực C,Buổi tối,Cao,CD19
KH1765,SP003,28/1/2022,149,Giảm,130,Cao,Khu vực C,Buổi tối,Thấp,CD42
KH1766,SP004,9/1/2022,281,Tăng,36,Cao,Khu vực A,Buổi tối,Thấp,CD11
KH1767,SP001,5/1/2022,452,Tăng,214,Cao,Khu vực A,Buổi chiều,Thấp,CD9
KH1768,SP004,24/1/2022,111,Giảm,218,Trung bình,Khu vực B,Buổi sáng,Thấp,CD49
KH1769,SP001,4/1/2022,438,Tăng,42,Thấp,Khu vực B,Buổi chiều,Thấp,CD26
KH1770,SP001,13/1/2022,169,Giảm,247,Cao,Khu vực A,Buổi chiều,Thấp,CD38
KH1771,SP004,27/1/2022,83,Giảm,54,Cao,Khu vực C,Buổi tối,Cao,CD26
KH1772,SP004,11/1/2022,489,Tăng,65,Thấp,Khu vực A,Buổi chiều,Thấp,CD14
KH1773,SP001,31/1/2022,119,Giảm,176,Trung bình,Khu vực B,Buổi chiều,Thấp,CD5
KH1774,SP004,18/1/2022,201,Tăng,138,Thấp,Khu vực A,Buổi chiều,Cao,CD46
KH1775,SP004,6/1/2022,434,Tăng,158,Thấp,Khu vực C,Buổi tối,Thấp,CD18
KH1776,SP001,31/1/2022,102,Giảm,48,Cao,Khu vực A,Buổi tối,Thấp,CD14
KH1777,SP001,7/1/2022,404,Tăng,204,Trung bình,Khu vực B,Buổi sáng,Cao,CD13
KH1778,SP005,3/1/2022,192,Giảm,207,Trung bình,Khu vực C,Buổi sáng,Thấp,CD34
KH1779,SP002,3/1/2022,135,Giảm,268,Thấp,Khu vực B,Buổi chiều,Cao,CD43
KH1780,SP005,6/1/2022,392,Tăng,180,Thấp,Khu vực C,Buổi tối,Cao,CD34
KH1781,SP001,31/1/2022,364,Tăng,224,Trung bình,Khu vực C,Buổi chiều,Cao,CD38
KH1782,SP004,11/1/2022,51,Giảm,146,Trung bình,Khu vực C,Buổi tối,Thấp,CD13
KH1783,SP004,11/1/2022,349,Tăng,210,Trung bình,Khu vực B,Buổi tối,Cao,CD42
KH1784,SP005,1/1/2022,65,Giảm,170,Trung bình,Khu vực C,Buổi chiều,Cao,CD21
KH1785,SP004,11/1/2022,330,Tăng,71,Thấp,Khu vực B,Buổi chiều,Thấp,CD24
KH1786,SP003,15/1/2022,84,Giảm,211,Thấp,Khu vực A,Buổi chiều,Thấp,CD44
KH1787,SP001,27/1/2022,221,Tăng,90,Thấp,Khu vực B,Buổi chiều,Cao,CD22
KH1788,SP001,11/1/2022,271,Tăng,107,Cao,Khu vực A,Buổi chiều,Thấp,CD25
KH1789,SP005,7/1/2022,220,Tăng,260,Thấp,Khu vực B,Buổi chiều,Thấp,CD32
KH1790,SP003,1/1/2022,248,Tăng,100,Cao,Khu vực C,Buổi tối,Cao,CD49
KH1791,SP001,1/1/2022,171,Giảm,124,Trung bình,Khu vực B,Buổi tối,Thấp,CD28
KH1792,SP001,21/1/2022,184,Giảm,195,Trung bình,Khu vực C,Buổi sáng,Cao,CD2
KH1793,SP004,11/1/2022,330,Tăng,141,Thấp,Khu vực A,Buổi chiều,Cao,CD45
KH1794,SP004,8/1/2022,478,Tăng,194,Trung bình,Khu vực B,Buổi tối,Cao,CD25
KH1795,SP001,17/1/2022,222,Tăng,122,Thấp,Khu vực B,Buổi tối,Thấp,CD17
KH1796,SP005,17/1/2022,455,Tăng,173,Trung bình,Khu vực C,Buổi chiều,Cao,CD46
KH1797,SP003,6/1/2022,86,Giảm,282,Trung bình,Khu vực C,Buổi tối,Thấp,CD49
KH1798,SP002,13/1/2022,185,Giảm,70,Trung bình,Khu vực C,Buổi chiều,Thấp,CD49
KH1799,SP001,31/1/2022,158,Giảm,248,Cao,Khu vực C,Buổi sáng,Cao,CD48
KH1800,SP002,21/1/2022,435,Tăng,214,Thấp,Khu vực B,Buổi chiều,Cao,CD28
KH1801,SP003,4/1/2022,377,Tăng,170,Cao,Khu vực C,Buổi chiều,Thấp,CD26
KH1802,SP003,5/1/2022,473,Tăng,182,Cao,Khu vực C,Buổi sáng,Thấp,CD30
KH1803,SP005,11/1/2022,384,Tăng,60,Trung bình,Khu vực C,Buổi sáng,Cao,CD38
KH1804,SP003,9/1/2022,57,Giảm,93,Thấp,Khu vực A,Buổi sáng,Thấp,CD24
KH1805,SP004,3/1/2022,198,Giảm,97,Thấp,Khu vực B,Buổi chiều,Cao,CD14
KH1806,SP002,31/1/2022,277,Tăng,147,Thấp,Khu vực A,Buổi sáng,Thấp,CD17
KH1807,SP002,18/1/2022,204,Tăng,191,Cao,Khu vực A,Buổi sáng,Cao,CD12
KH1808,SP005,7/1/2022,103,Giảm,268,Trung bình,Khu vực C,Buổi tối,Cao,CD50
KH1809,SP003,7/1/2022,55,Giảm,154,Thấp,Khu vực A,Buổi chiều,Thấp,CD29
KH1810,SP005,27/1/2022,265,Tăng,234,Thấp,Khu vực C,Buổi chiều,Thấp,CD20
KH1811,SP003,28/1/2022,210,Tăng,261,Thấp,Khu vực B,Buổi tối,Cao,CD48
KH1812,SP001,16/1/2022,155,Giảm,157,Thấp,Khu vực A,Buổi sáng,Cao,CD22
KH1813,SP005,29/1/2022,460,Tăng,211,Cao,Khu vực A,Buổi sáng,Cao,CD36
KH1814,SP002,27/1/2022,297,Tăng,92,Thấp,Khu vực A,Buổi tối,Thấp,CD26
KH1815,SP005,24/1/2022,316,Tăng,252,Thấp,Khu vực B,Buổi sáng,Thấp,CD16
KH1816,SP005,11/1/2022,283,Tăng,224,Trung bình,Khu vực B,Buổi sáng,Cao,CD23
KH1817,SP003,3/1/2022,174,Giảm,126,Trung bình,Khu vực C,Buổi chiều,Thấp,CD8
KH1818,SP003,4/1/2022,189,Giảm,285,Cao,Khu vực A,Buổi sáng,Thấp,CD22
KH1819,SP003,8/1/2022,191,Giảm,95,Trung bình,Khu vực A,Buổi sáng,Thấp,CD22
KH1820,SP004,31/1/2022,208,Tăng,275,Thấp,Khu vực C,Buổi chiều,Thấp,CD50
KH1821,SP004,1/1/2022,264,Tăng,116,Thấp,Khu vực B,Buổi sáng,Cao,CD33
KH1822,SP005,4/1/2022,430,Tăng,220,Thấp,Khu vực A,Buổi sáng,Thấp,CD45
KH1823,SP002,16/1/2022,473,Tăng,290,Trung bình,Khu vực B,Buổi tối,Thấp,CD10
KH1824,SP004,23/1/2022,317,Tăng,300,Trung bình,Khu vực A,Buổi sáng,Cao,CD4
KH1825,SP004,7/1/2022,430,Tăng,68,Thấp,Khu vực A,Buổi chiều,Thấp,CD36
KH1826,SP002,24/1/2022,318,Tăng,84,Cao,Khu vực C,Buổi tối,Thấp,CD7
KH1827,SP001,16/1/2022,101,Giảm,81,Thấp,Khu vực B,Buổi chiều,Thấp,CD11
KH1828,SP001,9/1/2022,217,Tăng,213,Trung bình,Khu vực C,Buổi sáng,Cao,CD36
KH1829,SP005,21/1/2022,192,Giảm,250,Trung bình,Khu vực B,Buổi sáng,Cao,CD28
KH1830,SP003,25/1/2022,121,Giảm,66,Cao,Khu vực A,Buổi sáng,Cao,CD41
KH1831,SP003,8/1/2022,51,Giảm,97,Cao,Khu vực C,Buổi tối,Cao,CD6
KH1832,SP001,23/1/2022,246,Tăng,217,Trung bình,Khu vực C,Buổi chiều,Cao,CD2
KH1833,SP005,4/1/2022,366,Tăng,88,Thấp,Khu vực B,Buổi tối,Cao,CD13
KH1834,SP003,31/1/2022,169,Giảm,197,Trung bình,Khu vực A,Buổi chiều,Thấp,CD12
KH1835,SP001,29/1/2022,388,Tăng,298,Thấp,Khu vực C,Buổi tối,Cao,CD49
